id;turn;human_rating_binary
49;2;0
49;3;0
5434;3;0
43425;2;0
54492;2;0
54492;3;0
70952;2;0
86582;3;0
92009;3;0
112286;3;0
129062;1;0
129062;2;0
148240;1;0
172537;1;0
181699;3;0
184384;1;0
194956;3;0
291861;1;0
299200;2;0
299200;3;0
313345;2;0
335479;1;0
341070;1;0
357903;1;0
381112;2;0
381112;3;0
381199;1;0
392837;3;0
393372;1;0
403265;2;0
403265;3;0
416315;2;0
422328;3;0
456782;1;0
456782;2;0
496215;1;0
496215;2;0
573453;1;0
581668;1;0
151;1;1
853;1;1
853;2;1
2585;2;1
5434;1;1
7730;1;1
10546;1;1
15653;1;1
17320;3;1
43425;1;1
43425;3;1
54492;1;1
57350;1;1
57350;2;1
67269;1;1
70952;1;1
70952;3;1
80932;1;1
86582;1;1
92009;1;1
92009;1;1
100558;1;1
111376;1;1
112286;1;1
129587;1;1
129587;2;1
139276;1;1
153639;1;1
153639;2;1
153639;3;1
172537;2;1
181699;1;1
181699;2;1
184184;2;1
194956;2;1
203920;1;1
209923;3;1
211860;1;1
211860;2;1