id,turn,semantic_category,instruction_type,visual_impact,object_type
90145,1,Object Addition,Imperative,Moderate Edit,Animals
140513,1,Object Addition,Imperative,Moderate Edit,Background/Scene
140513,2,Object Addition,Imperative,Moderate Edit,Background/Scene
319096,1,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
319096,2,Object Addition,Imperative,Subtle Edit,Furniture/Objects
393224,1,Attribute Changes,Interrogative,Subtle Edit,People
393224,2,Attribute Changes,Interrogative,Subtle Edit,People
122896,1,Object Addition,Imperative,Moderate Edit,Animals
415314,1,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
415314,2,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
75065,1,Attribute Changes,Imperative,Subtle Edit,Animals
75065,2,Attribute Changes,Imperative,Subtle Edit,Animals
75065,3,Object Addition,Imperative,Moderate Edit,Background/Scene
483587,1,Object Replacement,Imperative,Moderate Edit,Animals
483587,2,Scene Changes,Imperative,Moderate Edit,Background/Scene
393375,1,Object Replacement,Imperative,Moderate Edit,Food
393375,2,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
341070,1,Attribute Changes,Imperative,Subtle Edit,Furniture/Objects
237569,1,Object Addition,Imperative,Subtle Edit,Furniture/Objects
237569,2,Attribute Changes,Imperative,Moderate Edit,People
237569,3,Object Addition,Imperative,Moderate Edit,Furniture/Objects
253975,1,Object Addition,Imperative,Moderate Edit,Vehicles
557105,1,Object Removal,Imperative,Moderate Edit,Plants
557105,2,Object Addition,Imperative,Moderate Edit,Animals
557105,3,Object Addition,Imperative,Moderate Edit,Food
77596,1,Attribute Changes,Imperative,Subtle Edit,Background/Scene
7730,1,Object Replacement,Imperative,Moderate Edit,Animals
7730,2,Color Changes,Imperative,Moderate Edit,Furniture/Objects
369969,1,Object Replacement,Imperative,Moderate Edit,Vehicles
369969,2,Object Replacement,Imperative,Subtle Edit,Objects
399759,1,Attribute Changes,Imperative,Moderate Edit,Food
399759,2,Object Replacement,Imperative,Moderate Edit,People
57357,1,Object Addition,Imperative,Subtle Edit,Animals
57357,2,Object Addition,Imperative,Subtle Edit,Animals
57357,3,Object Addition,Imperative,Moderate Edit,Furniture/Objects
553827,1,Attribute Changes,Imperative,Moderate Edit,Animals
193680,1,Object Replacement,Imperative,Moderate Edit,Animals
358868,1,Attribute Changes,Imperative,Subtle Edit,Animals
535902,1,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
302107,1,Attribute Changes,Imperative,Moderate Edit,People
302107,2,Color Changes,Imperative,Subtle Edit,People
158548,1,Color Changes,Imperative,Subtle Edit,Animals
158548,2,Object Addition,Imperative,Subtle Edit,Animals
458821,1,Object Addition,Interrogative,Subtle Edit,Furniture/Objects
17320,1,Color Changes,Imperative,Subtle Edit,Furniture/Objects
17320,2,Object Replacement,Imperative,Drastic Edit,Animals
17320,3,Object Addition,Imperative,Subtle Edit,Furniture/Objects
491430,1,Color Changes,Imperative,Subtle Edit,People
163114,1,Object Replacement,Imperative,Drastic Edit,Vehicles
163114,2,Scene Changes,Imperative,Moderate Edit,Furniture/Objects
493074,1,Color Changes,Imperative,Subtle Edit,Animals
493074,2,Color Changes,Imperative,Moderate Edit,Furniture/Objects
493074,3,Object Removal,Imperative,Moderate Edit,Furniture/Objects
417830,1,Object Replacement,Imperative,Subtle Edit,Food
417830,2,Object Addition,Imperative,Moderate Edit,Other
417830,3,Object Addition,Imperative,Moderate Edit,Furniture/Objects
299200,1,Object Removal,Imperative,Moderate Edit,People
299200,2,Attribute Changes,Imperative,Subtle Edit,Furniture/Objects
299200,3,Object Addition,Imperative,Drastic Edit,Background/Scene
134290,1,Color Changes,Imperative,Moderate Edit,People
134290,2,Object Addition,Imperative,Moderate Edit,People
234956,1,Object Replacement,Imperative,Moderate Edit,Background/Scene
234956,2,Object Replacement,Imperative,Moderate Edit,Vehicles
234956,3,Object Addition,Imperative,Subtle Edit,Animals
357220,1,Color Changes,Imperative,Subtle Edit,Furniture/Objects
102724,1,Object Replacement,Imperative,Moderate Edit,Animals
150812,1,Object Addition,Imperative,Moderate Edit,Animals
308507,1,Object Addition,Imperative,Subtle Edit,Furniture/Objects
308507,2,Object Addition,Imperative,Moderate Edit,Furniture/Objects
308507,3,Object Addition,Imperative,Moderate Edit,Background/Scene
91839,1,Object Addition,Interrogative,Subtle Edit,Furniture/Objects
142510,1,Object Addition,Imperative,Subtle Edit,Vehicles
142510,2,Object Removal,Imperative,Moderate Edit,Background/Scene
187866,1,Attribute Changes,Imperative,Moderate Edit,People
187866,2,Object Addition,Imperative,Subtle Edit,People
96497,1,Object Addition,Imperative,Subtle Edit,Furniture/Objects
453302,1,Object Addition,Imperative,Moderate Edit,People
410182,1,Object Removal,Imperative,Subtle Edit,Food
92009,1,Object Addition,Imperative,Moderate Edit,Animals
92009,2,Object Removal,Imperative,Moderate Edit,Furniture/Objects
92009,3,Attribute Changes,Imperative,Subtle Edit,Animals
29324,1,Object Removal,Imperative,Moderate Edit,Furniture/Objects
538741,1,Attribute Changes,Imperative,Subtle Edit,Clothing
538741,2,Color Changes,Imperative,Subtle Edit,People
25139,1,Object Addition,Imperative,Subtle Edit,Animals
465301,1,Object Addition,Imperative,Moderate Edit,Furniture/Objects
563122,1,Attribute Changes,Imperative,Subtle Edit,People
563122,2,Attribute Changes,Imperative,Moderate Edit,People
563122,3,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
426040,1,Object Replacement,Imperative,Subtle Edit,Furniture/Objects
468505,1,Object Replacement,Imperative,Drastic Edit,Food
100081,1,Object Replacement,Imperative,Subtle Edit,Furniture/Objects
100081,2,Object Addition,Imperative,Moderate Edit,Animals
100081,3,Object Addition,Imperative,Moderate Edit,Animals
429011,1,Color Changes,Imperative,Moderate Edit,Furniture/Objects
429011,2,Color Changes,Imperative,Moderate Edit,Background/Scene
429011,3,Object Addition,Imperative,Subtle Edit,Animals
204863,1,Attribute Changes,Imperative,Moderate Edit,People
24585,1,Object Addition,Imperative,Drastic Edit,Animals
254387,1,Attribute Changes,Imperative,Subtle Edit,People
291614,1,Object Addition,Imperative,Subtle Edit,Animals
291614,2,Object Removal,Imperative,Moderate Edit,Furniture/Objects
536073,1,Object Addition,Imperative,Subtle Edit,Food
536073,2,Object Addition,Imperative,Moderate Edit,Furniture/Objects
536073,3,Object Addition,Imperative,Moderate Edit,Furniture/Objects
129587,1,Object Replacement,Imperative,Subtle Edit,Food
129587,2,Scene Changes,Interrogative,Moderate Edit,Background/Scene
129587,3,Object Addition,Imperative,Moderate Edit,Background/Scene
34,1,Object Removal,Imperative,Moderate Edit,Animals
34,2,Attribute Changes,Imperative,Moderate Edit,Animals
39480,1,Color Changes,Imperative,Subtle Edit,People
134597,1,Object Addition,Imperative,Subtle Edit,Animals
134597,2,Color Changes,Imperative,Subtle Edit,Furniture/Objects
6484,1,Object Removal,Imperative,Subtle Edit,Furniture/Objects
6484,2,Attribute Changes,Imperative,Moderate Edit,Food
6484,3,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
393271,1,Object Addition,Imperative,Moderate Edit,Furniture/Objects
417832,1,Object Addition,Imperative,Subtle Edit,People
262161,1,Color Changes,Imperative,Moderate Edit,Vehicles
262161,2,Object Addition,Imperative,Moderate Edit,Background/Scene
262161,3,Object Addition,Imperative,Moderate Edit,Furniture/Objects
529376,1,Attribute Changes,Imperative,Subtle Edit,People
529376,2,Object Removal,Imperative,Moderate Edit,People
529376,3,Attribute Changes,Imperative,Moderate Edit,People
240967,1,Object Addition,Imperative,Moderate Edit,Furniture/Objects
240967,2,Attribute Changes,Imperative,Subtle Edit,Vehicles
335479,1,Attribute Changes,Imperative,Moderate Edit,People
249441,1,Color Changes,Interrogative,Moderate Edit,Vehicles
249441,2,Object Addition,Interrogative,Moderate Edit,Background/Scene
158726,1,Object Replacement,Imperative,Moderate Edit,Food
158726,2,Object Replacement,Imperative,Moderate Edit,Food
221427,1,Object Addition,Imperative,Subtle Edit,Animals
5434,1,Attribute Changes,Imperative,Subtle Edit,Animals
5434,2,Attribute Changes,Imperative,Moderate Edit,Furniture/Objects
5434,3,Object Addition,Imperative,Moderate Edit,Plants
270186,1,Object Addition,Imperative,Moderate Edit,Furniture/Objects
407550,1,Object Replacement,Imperative,Moderate Edit,Food
315319,1,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
315319,2,Object Addition,Imperative,Subtle Edit,Animals
49,1,Object Removal,Imperative,Moderate Edit,People
49,2,Object Addition,Imperative,Moderate Edit,Background/Scene
49,3,Object Addition,Imperative,Moderate Edit,Background/Scene
106508,1,Object Replacement,Imperative,Drastic Edit,Vehicles
106508,2,Object Addition,Imperative,Moderate Edit,People
148240,1,Object Addition,Imperative,Subtle Edit,Food
148240,2,Object Addition,Interrogative,Subtle Edit,Food
50507,1,Object Removal,Imperative,Moderate Edit,Furniture/Objects
50507,2,Object Addition,Imperative,Moderate Edit,Furniture/Objects
409181,1,Object Addition,Imperative,Moderate Edit,Background/Scene
54492,1,Attribute Changes,Imperative,Moderate Edit,Animals
54492,2,Object Removal,Imperative,Moderate Edit,Furniture/Objects
54492,3,Object Removal,Imperative,Moderate Edit,Furniture/Objects
359569,1,Object Replacement,Imperative,Subtle Edit,Furniture/Objects
112286,1,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
112286,2,Scene Changes,Imperative,Moderate Edit,Background/Scene
112286,3,Object Addition,Imperative,Moderate Edit,Animals
294973,1,Object Replacement,Imperative,Drastic Edit,Furniture/Objects
294973,2,Object Removal,Imperative,Moderate Edit,Furniture/Objects
294973,3,Object Addition,Imperative,Moderate Edit,Furniture/Objects
90192,1,Color Changes,Imperative,Subtle Edit,Furniture/Objects
90192,2,Attribute Changes,Imperative,Moderate Edit,Food
111376,1,Object Addition,Imperative,Subtle Edit,Animals
475645,1,Object Addition,Imperative,Moderate Edit,Furniture/Objects
475645,2,Object Removal,Imperative,Moderate Edit,Furniture/Objects
229301,1,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
229301,2,Object Addition,Imperative,Subtle Edit,Background/Scene
229301,3,Object Addition,Imperative,Subtle Edit,Animals
352426,1,Scene Changes,Imperative,Moderate Edit,Background/Scene
352426,2,Object Addition,Imperative,Moderate Edit,People
352426,3,Scene Changes,Imperative,Drastic Edit,Background/Scene
416315,1,Object Replacement,Imperative,Moderate Edit,Animals
416315,2,Object Addition,Imperative,Moderate Edit,Food
189893,1,Object Addition,Imperative,Moderate Edit,Furniture/Objects
189893,2,Attribute Changes,Imperative,Moderate Edit,Background/Scene
7996,1,Attribute Changes,Imperative,Moderate Edit,People
7996,2,Object Addition,Imperative,Subtle Edit,People
7996,3,Object Addition,Imperative,Moderate Edit,Furniture/Objects
460254,1,Object Replacement,Imperative,Moderate Edit,People
147546,1,Object Replacement,Imperative,Moderate Edit,Food
565012,1,Color Changes,Imperative,Moderate Edit,Furniture/Objects
565012,2,Object Addition,Imperative,Moderate Edit,Furniture/Objects
512576,1,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
512576,2,Attribute Changes,Imperative,Subtle Edit,Furniture/Objects
512576,3,Object Addition,Imperative,Moderate Edit,Furniture/Objects
204837,1,Object Addition,Imperative,Moderate Edit,People
214848,1,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
214848,2,Object Addition,Imperative,Moderate Edit,Animals
570297,1,Color Changes,Imperative,Subtle Edit,Furniture/Objects
357865,1,Attribute Changes,Imperative,Subtle Edit,Furniture/Objects
357865,2,Object Addition,Imperative,Moderate Edit,Furniture/Objects
357865,3,Object Addition,Imperative,Moderate Edit,Background/Scene
142400,1,Object Replacement,Imperative,Moderate Edit,Food
142400,2,Object Addition,Imperative,Subtle Edit,Furniture/Objects
265748,1,Object Removal,Imperative,Moderate Edit,Furniture/Objects
265748,2,Object Addition,Imperative,Subtle Edit,People
265748,3,Object Addition,Imperative,Subtle Edit,Animals
398575,1,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
398575,2,Scene Changes,Imperative,Drastic Edit,Background/Scene
398575,3,Object Addition,Imperative,Moderate Edit,People
15653,1,Object Addition,Imperative,Subtle Edit,Furniture/Objects
475195,1,Object Addition,Imperative,Moderate Edit,Food
475195,2,Object Addition,Imperative,Subtle Edit,Food
519172,1,Object Removal,Interrogative,Moderate Edit,People
519172,2,Object Addition,Interrogative,Moderate Edit,Background/Scene
519172,3,Object Addition,Imperative,Moderate Edit,Vehicles
376859,1,Object Addition,Imperative,Subtle Edit,Clothing
395040,1,Attribute Changes,Interrogative,Moderate Edit,People
130518,1,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
130518,2,Object Removal,Imperative,Moderate Edit,Furniture/Objects
403265,1,Color Changes,Imperative,Moderate Edit,Furniture/Objects
403265,2,Object Addition,Imperative,Subtle Edit,Animals
403265,3,Color Changes,Imperative,Subtle Edit,Furniture/Objects
580685,1,Object Replacement,Imperative,Moderate Edit,Food
580685,2,Object Addition,Imperative,Subtle Edit,Food
580685,3,Color Changes,Interrogative,Subtle Edit,Furniture/Objects
207833,1,Object Addition,Imperative,Moderate Edit,Animals
334809,1,Object Replacement,Imperative,Moderate Edit,Food
381199,1,Object Replacement,Imperative,Moderate Edit,Food
381199,2,Object Replacement,Imperative,Subtle Edit,Food
177824,1,Attribute Changes,Imperative,Moderate Edit,Furniture/Objects
177824,2,Attribute Changes,Imperative,Moderate Edit,Background/Scene
177824,3,Object Addition,Imperative,Moderate Edit,Animals
129062,1,Object Addition,Imperative,Moderate Edit,Animals
129062,2,Object Addition,Imperative,Subtle Edit,Food
129062,3,Object Addition,Imperative,Moderate Edit,Furniture/Objects
203920,1,Object Replacement,Imperative,Moderate Edit,Background/Scene
184184,1,Object Addition,Imperative,Subtle Edit,Food
184184,2,Object Removal,Imperative,Moderate Edit,Food
428304,1,Object Removal,Imperative,Moderate Edit,Food
428304,2,Object Removal,Imperative,Moderate Edit,Food
31749,1,Object Addition,Imperative,Subtle Edit,Furniture/Objects
524924,1,Object Replacement,Imperative,Drastic Edit,Furniture/Objects
524924,2,Object Replacement,Imperative,Moderate Edit,Food
524924,3,Object Replacement,Imperative,Moderate Edit,Food
190360,1,Attribute Changes,Imperative,Subtle Edit,Animals
190360,2,Object Addition,Imperative,Moderate Edit,People
190360,3,Object Addition,Imperative,Subtle Edit,Furniture/Objects
381112,1,Object Removal,Imperative,Moderate Edit,Animals
381112,2,Color Changes,Imperative,Subtle Edit,Furniture/Objects
381112,3,Object Addition,Imperative,Subtle Edit,Animals
182759,1,Attribute Changes,Imperative,Subtle Edit,Animals
182759,2,Attribute Changes,Imperative,Subtle Edit,Animals
182759,3,Attribute Changes,Imperative,Subtle Edit,Animals
44437,1,Object Addition,Imperative,Subtle Edit,People
44437,2,Object Addition,Imperative,Subtle Edit,People
151,1,Object Addition,Imperative,Moderate Edit,Animals
480776,1,Object Addition,Imperative,Moderate Edit,Background/Scene
480776,2,Object Addition,Interrogative,Moderate Edit,Background/Scene
50151,1,Object Addition,Interrogative,Subtle Edit,People
50151,2,Object Addition,Imperative,Moderate Edit,Animals
50151,3,Attribute Changes,Imperative,Moderate Edit,Furniture/Objects
211860,1,Attribute Changes,Imperative,Moderate Edit,People
211860,2,Color Changes,Imperative,Subtle Edit,People
496215,1,Object Addition,Imperative,Subtle Edit,People
496215,2,Object Addition,Imperative,Subtle Edit,Furniture/Objects
155790,1,Object Replacement,Imperative,Moderate Edit,Furniture/Objects
155790,2,Scene Changes,Imperative,Moderate Edit,Background/Scene
155790,3,Object Addition,Interrogative,Subtle Edit,Furniture/Objects
236599,1,Attribute Changes,Imperative,Moderate Edit,People
513580,1,Object Removal,Imperative,Moderate Edit,People
577847,1,Object Replacement,Imperative,Moderate Edit,Food
577847,2,Object Replacement,Imperative,Moderate Edit,Food
577847,3,Object Addition,Imperative,Moderate Edit,Food
523394,1,Color Changes,Imperative,Moderate Edit,Furniture/Objects
139276,1,Object Addition,Interrogative,Subtle Edit,People
